Label,Tweet
1,GANTENG TAPI BERENGSEK!!! BUAT APA?!!WHO DO YOU THINK YOU ARE? YOU'RE NOTHING!! TO ME! << REMEMBER THIS!!
0,Sakit jiwa kali yah..
0,"Does insulting one for being ""Cina"", ""Kafir"", make you a better Muslim?"
1,USER USER Karena partaimu pdip itu bajingan'
1,USER USER Jgn salah itu janji jokowi yg di tuntut. Lu ajh yg gx paham cebong'
1,USER Khan yg ngajarin si garong kafir'
0,"i might say ""kontol"" more often because its im in need of......"
1,USER Anak pecun... ga jauh2 dr hobi zina.. haha'
0,"USER Udah siap di demo berjilid2 sama bani cingkrang ? Malaysia memberlakukan syariat Islam, tapi melegalkan perjudian dengan berbagai syarat dan ketentuan yg ""strict"".'"
0,Hamdalah. Kelar juga ini fitur keparat.'
0,Coffee really got me wired right now. A non coffee drinker
1,USER Jancuk! Pingin gue tabok itu anak'
0,"Tasik Chini yg diiktiraf Rizab Biosfera oleh UNESCO sesungguhnya kaya dengan khazanah alam semulajadi, flora &amp; fauna.; ; Namun sejak 2009, persekitaran kawasan itu semakin terjejas akibat kegiatan pembalakan, perlombongan &amp; perladangan yg tidak ter"
0,Yue: i can excuse kiki and asheng becoming cabecabean but i drew a line in charlotte AND ronan having that sweet touch of a cabe
0,HEBAHAN PENAWARAN PROGRAM DIPLOMA PENDIDIKAN LEPASAN IJAZAH (DPLI) DAN PROGRAM IJAZAH SARJANA MUDA PENDIDIKAN (PENDIDIKAN ISLAM) (ISMPPI) KEMASUKAN SEPTEMBER 2018 DI UNISZA.; ; Sukacita dimaklumkan bahawa Universiti Sultan Zainal...
0,"USER Sebenernya siapa sih yang mempunyai hak untuk menyatakan bahwa orang itu kafir? Dan jika semua orang mempunyai hak, apa kriteria kafir itu?'"
0,Yg bawah sendiri keren ÃƒÂ°???
0,USER USER USER USER USER USER iyain dah tante jablay wkwk'
0,"I like you. You like him, itukan berengsek :3 #nyampah"
1,"USER Kelemahan gerindra itu ada di orang ini,...Prabowo turun elektabilitasnya karena CONGOR fadlizon spt DURNO'"
0,"indonesia: literally suffocating from the air pollution

the kampungan people watching over their trash burning:  pic.twitter.com/4ny5B7F2uX"
0,"RT USER: Ya, saya bajingan\nTERIMA KASIH'"
1,#MataNajwaDebatJakarta lucu banget jawaban ahok.. gak nyambung. Ditanya apa di jawab apa. Kena skak mat d pertanyaan isu agama tdi. Dasar cina tolol hahaha
0,gw suka kontol lo beb :*'
0,USER Astagaaa.. Sewa pecun skalian ga pak?'
0,except being HTI and FPI of course.
0,USER Jadi pilih. Mau bunga bangkai apa karangan bunga hahaha'
0,USER Ah anjir favorit gue bgt'
0,"Over 190 million Indonesians have voted for a new president and parliament. Incumbent president Joko Widodo faces off against former army general Prabowo Subianto in a campaign dominated by economic issues and debates on religion. 

#IndonesiaElection #IndusNews pic.twitter.com/wnbdFOFZf6"
0,deklarasi pilkada 2018 aman dan anti hoax PKL jabon
0,Pantes idiot makananya upil URL
0,Gak habis pikir deh gmn kalo kunti itu bs masuk rumah. Gak berani bayangin gue... lo berani bayanginnya? \n\nEnd.'
1,"When you cheat and ""win"" you've distinguished yourself as a LOSER!  #ShameOnYouMalaysia #SEAGames2017"
0,Beli barang pengiriman dr cina biasanya paket transit cin-indo cuma 3 hari napa ini seminggu\xf0\x9f\x98\xa2'
0,No pork is najis or dirty. It is considered akin to drinking urine. At least in sub continent context. So that is the reason it being the final barrier. Other things are more like temptations.
0,"USER USER Knp ga aneh ada ustadz belajar dr non-muslim/atheist, belajarnya di Eropa/Amerika/Australia?\n\nEmg ga aneh liat pastor belajar katolik di India dr seorang biksu?'"
0,"I ever since 2016 came to work early and finished work late and work my ass off this kindergarten even though I was not feeling well but my boss said I need to improve my working skills?

What you want me to do to make you satisfied?Fuck with you in the office ÃƒÂƒÃ‚Â°ÃƒÂ…Ã‚Â¸ÃƒÂ‹Ã‚Âœ'
Bangsat loh!,,,,"
1,Why doe your bio. Look so fake? Are you a liar? Why are you such a liar? Nobody likes a liar. You should be proud of who you are. Stop lying
1,"educate your self a lil before saying things like this. Upin Ipin movie and Munafik doing so well here. It's 2020, narrow minded mind stay behind."
1,"anyway wht can u do if i tell you about all the problems we face? u will keep on supporting umno and try to defend them. pls just fuck off from my mentions and go study about ur stupid lovely umno. study lah dr era tunku, tun m, najib. umno bangsat! sekian,,,,"
1,"Kok cuma cina non muslim yg dibantai? Tuh si USER jg cina, usir jg dong."
1,"Dear Malaysia,stop claiming Indonesia's cultures! It just make your country seems like an idiot! #TorTorPunyaIndonesia #MalaysiaMiskinBudaya"
0,USER Mau dibucinin lah asw udh dibucinin kok gak mempan wagelaseh gue harus ngapain lage'
0,USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER @
0,"USER dia tau tau ngechat gua beb ,gada angin gada tsunami wkwk ngasih tau kalo temen TA gua yg satu lg join rp jd yuta fak bat .. pas gua iseng on di jandro de'e nge unfol gua . wkwkwk cacat bat"""
1,"Tangung kalau cuma blokir jokowi, yuk ah tingkatin jadi lengserkan jokowi biar kehidupan berbangsa dan bernegara di NKRI tenang & damai lagi"
0,"USER Secara teknis dia baik mau balikin lu straight tapi cuma cara dia aja yg ga etis..gua bilang sama lu gimana sakitnya mantan ketika putus sama elu dia ada di jalur yg salah,hey bro gua ngalamin kok,setelah gua sama mantan gua putus,mantan gu"
1,"I know. I hate her because she looks bitchy and really ""kampungan"" and she's always stuck with me everywhere I go (mostly on school) ugh"
1,USER Hasil revolusi mental kenapa jadi pada cacat mental... Optimis 2019 ganti presiden.'
0,Being bejat is a hard thing guysÃƒÂ°Ã‚ÂŸÃ‚Â¤Ã‚Â˜
0,"Anj bangsat aing cape banget fuck,,,,"
0,USER USER Aku gr baru tau kemarin si banci eta trh wkwkwk'
1,"Kejar setoran ke cina sebelum pak Djarot lengser. Rezim jongos cina sangat membahayakan bangsa & negara, hukum, UU dan Konstitusi dilabrak"
0,USER Dah pernah naik onta ?'
0,USER Sini aku jilatin sayang memek mu'
0,"Follow USER untuk mengetahui informasi terkini mengenai ekonomi, keuangan, perbankan, investasi, saham di Indonesia dan dunia hari ini"
0,"Jika setiap Provinsi berupaya capai Pertumbuhan ekonomi di atas 5,2 persen, mk Pertumbuhan Ekonomi 5,4 persen bukan sesuatu yg mustahil utk dicapai. Silahkan para Gubernur pacu perekonomian Daerahnya masing2."
0,USER Mana mau maen di cina hehehe'
1,USER USER USER USER USER USER USER USER USER USER USER USER itu BEM SI yg di ITB kemana ya suaranya ? jangan2 ikut razim cebong'
0,Joko Widodo one of the world most popular elected #Leaders #IndonesiaElection  USER  USER  USER pic.twitter.com/u5qrv2WrvM
1,"Fuck you, i'd raid for giratina three times, but i didn't get anyhing anjing kau bangsat,,,,"
0,"Hai gaes...\nSebentar lagi Agustus.\nJangan lupa dibunderi ya tanggalnya! Tanggal 12 Agustus 2018 yuk kita seru-seruan bareng kami Kocak Aula.\nAda Kak Mila Armidya Sari, Kiwil Lutfi Afifih Cungkring Arjuna Jawa, sikribo Jimat, dan aku.'"
0,Mas USER USER saya sangat berharap Jakarta bisa memperbanyak sekolah2 hafiz qur'an seperti di Turki
